id_ptn,kode_ptn,nama_ptn,website,is_akademik,is_vokasi,is_ptnbh,is_ptkin,alamat,provinsi
111,1111,UNIVERSITAS SYIAH KUALA,https://pmb.usk.ac.id/,1,0,1,0,"Universitas Syiah Kuala, Darusslam, Banda Aceh.Jl. T. Nyak Arief Darussalam Banda Aceh 23111","[{'id_ptn': 111, 'kode_prov1': '060000', 'nama_prov1': 'Aceh', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Banda Aceh'}]"
112,1112,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,1,0,0,0,"Universitas Malikussaleh Jalan Cot Tengku Nie, Reuleut, Kabupaten Aceh Utara","[{'id_ptn': 112, 'kode_prov1': '060000', 'nama_prov1': 'Aceh', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kabupaten Aceh Utara'}]"
113,1113,UNIVERSITAS TEUKU UMAR,https://pmb.utu.ac.id/,1,0,0,0,,"[{'id_ptn': 113, 'kode_prov1': '060000', 'nama_prov1': 'Aceh', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kabupaten Aceh Barat'}]"
114,1114,UNIVERSITAS SAMUDRA,https://camaba.unsam.ac.id/,1,0,0,0,,"[{'id_ptn': 114, 'kode_prov1': '060000', 'nama_prov1': 'Aceh', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Langsa'}]"
115,1115,ISBI ACEH,http://pmb.isbiaceh.ac.id/,1,0,0,0,,"[{'id_ptn': 115, 'kode_prov1': '060000', 'nama_prov1': 'Aceh', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kabupaten Aceh Besar'}]"
116,1116,UIN AR-RANIRY,https://ar-raniry.ac.id/admisi/,1,0,0,1,,"[{'id_ptn': 116, 'kode_prov1': '060000', 'nama_prov1': 'Aceh', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Banda Aceh'}]"
121,1121,UNIVERSITAS SUMATERA UTARA,https://www.usu.ac.id/id/penerimaan,1,0,1,0,Jalan Dr T Mansyur no 9 Medan,"[{'id_ptn': 121, 'kode_prov1': '070000', 'nama_prov1': 'Sumatera Utara', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Medan'}]"
122,1122,UNIVERSITAS NEGERI MEDAN,https://www.unimed.ac.id/pmb/,1,0,0,0,"Jalan Willem Iskandar Pasar V Medan Estate, Kec.Medan Tembung, Medan, Sumatera Utara 20221 (061) 6613365","[{'id_ptn': 122, 'kode_prov1': '070000', 'nama_prov1': 'Sumatera Utara', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Medan'}]"
123,1123,UIN SUMATERA UTARA,https://maba.uinsu.ac.id/,1,0,0,1,,"[{'id_ptn': 123, 'kode_prov1': '070000', 'nama_prov1': 'Sumatera Utara', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kabupaten Deli Serdang'}]"
124,1124,UIN SYEKH ALI HASAN AHMAD ADDARY PADANGSIDIMPUAN,https://www.uinsyahada.ac.id,1,0,0,1,,"[{'id_ptn': 124, 'kode_prov1': '070000', 'nama_prov1': 'Sumatera Utara', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Padangsidimpuan'}]"
131,1131,UNIVERSITAS RIAU,https://registrasiulang.unri.ac.id/ ,1,0,0,0,"Jln. Bina Widya Km. 12,5 Simpang Baru Panam, Pekanbaru","[{'id_ptn': 131, 'kode_prov1': '090000', 'nama_prov1': 'Riau', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Pekanbaru'}]"
132,1132,UIN SULTAN SYARIF KASIM,https://sireg.uin-suska.ac.id,1,0,0,1, Jl.H.R Subrantas KM.18 No.155 Panam Pekanbaru,"[{'id_ptn': 132, 'kode_prov1': '090000', 'nama_prov1': 'Riau', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Pekanbaru'}]"
133,1133,UNIVERSITAS MARITIM RAJA ALI HAJI,https://penerimaan.umrah.ac.id/,1,0,0,0,"Jln. Politeknik Km 24, SenggarangTanjungpinang-29115Provinsi Kepulauan Riau","[{'id_ptn': 133, 'kode_prov1': '310000', 'nama_prov1': 'Kepulauan Riau', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Tanjungpinang'}]"
141,1141,UNIVERSITAS ANDALAS,https://pmb.unand.ac.id/,1,0,1,0,,"[{'id_ptn': 141, 'kode_prov1': '080000', 'nama_prov1': 'Sumatera Barat', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Padang'}]"
142,1142,UNIVERSITAS NEGERI PADANG,https://spmb.unp.ac.id,1,0,1,0,"Jln. Prof. Dr. Hamka Air Tawar Padang - Sumatera Barat, Telepon: 0751-7053902 ","[{'id_ptn': 142, 'kode_prov1': '080000', 'nama_prov1': 'Sumatera Barat', 'kode_prov2': None, 'nama_prov2': None, 'kode_kota': '-', 'nama_kota': 'Kota Padang'}]"
